Temparature,Humidity ,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorous,Fertilizer_Name,Rainfall,Duration,Crop_Production
26,52,38,Sandy,Maize,37,0,0,Urea,moderate,3,high
29,52,45,Loamy,Sugarcane,12,0,36,DAP,high,15,high
34,65,62,Black,Cotton,7,9,30,Ammonium Nitrate,moderate,6,high
32,62,34,Red,Tobacco,22,0,20,Ammonium Sulfate,moderate,4,high
28,54,46,Clayey,Paddy,35,0,0,Urea,high,5,high
26,52,35,Sandy,Barley,12,10,13,DAP,low,2,high
25,50,64,Red,Cotton,9,0,10,Calcium Nitrate,moderate,5,high
33,64,50,Loamy,Wheat,41,0,0,Urea,moderate,4,high
30,60,42,Sandy,Millets,21,0,18,Ammonium Sulfate,low,2,high
29,58,33,Black,Oil seeds,9,7,30,Ammonium Nitrate,moderate,3,high
27,54,28,Clayey,Pulses,13,0,40,DAP,low,4,high
31,62,48,Sandy,Maize,14,15,12,DAP,moderate,3,high
25,50,65,Loamy,Cotton,36,0,0,Urea,moderate,6,high
32,62,41,Clayey,Paddy,24,0,22,Ammonium Sulfate,high,5,high
26,52,31,Red,Ground Nuts,14,0,41,DAP,moderate,3,high
31,62,49,Black,Sugarcane,10,13,14,DAP,high,15,high
33,64,34,Clayey,Pulses,38,0,0,Urea,low,4,high
25,50,39,Sandy,Barley,21,0,19,Ammonium Sulfate,low,2,high
28,54,65,Black,Cotton,39,0,0,Urea,moderate,5,high
29,58,52,Loamy,Wheat,13,0,36,DAP,moderate,4,high
30,60,44,Sandy,Millets,10,0,9,Calcium Nitrate,high,18,high
34,65,53,Loamy,Sugarcane,12,14,12,DAP,low,3,high
35,68,33,Red,Tobacco,11,0,37,DAP,low,4,high
28,54,37,Black,Millets,36,0,0,Urea,high,5,high
33,64,39,Clayey,Paddy,13,0,10,Calcium Nitrate,low,3,high
26,52,44,Sandy,Maize,23,0,20,Ammonium Sulfate,low,5,high
30,60,63,Red,Cotton,9,9,29,Ammonium Nitrate,high,18,high
32,62,30,Loamy,Sugarcane,38,0,0,Urea,moderate,3,high
37,70,32,Black,Oil seeds,12,0,39,DAP,low,4,high
26,52,36,Clayey,Pulses,14,0,13,Calcium Nitrate,moderate,3,high
29,58,40,Red,Ground Nuts,24,0,23,Ammonium Sulfate,high,18,high
30,60,27,Loamy,Sugarcane,12,0,40,DAP,high,5,high
34,65,38,Clayey,Paddy,39,0,0,Urea,low,5,high
36,68,38,Sandy,Barley,7,9,30,Ammonium Nitrate,high,5,high
26,52,48,Loamy,Wheat,23,0,19,Ammonium Sulfate,moderate,4,high
28,54,35,Black,Millets,41,0,0,Urea,moderate,6,high
30,60,61,Loamy,Cotton,8,10,31,Ammonium Nitrate,moderate,4,high
37,70,37,Clayey,Paddy,12,0,41,DAP,moderate,3,high
25,50,26,Red,Ground Nuts,15,14,11,DAP,high,18,high
29,58,34,Sandy,Millets,15,0,37,DAP,low,1,high
27,54,30,Clayey,Pulses,13,0,13,Calcium Nitrate,moderate,3,high
30,60,58,Loamy,Sugarcane,10,7,32,Ammonium Nitrate,high,3,high
32,62,34,Red,Tobacco,22,0,24,Ammonium Sulfate,moderate,16,high
34,65,60,Black,Sugarcane,35,0,0,Urea,high,1,high
35,67,42,Sandy,Barley,10,0,35,DAP,low,5,high
38,70,48,Loamy,Wheat,8,8,28,Ammonium Nitrate,moderate,3,high
26,52,32,Black,Oil seeds,12,0,8,Calcium Nitrate,moderate,6,high
29,58,43,Clayey,Paddy,24,0,18,Ammonium Sulfate,moderate,5,high
30,60,29,Red,Ground Nuts,41,0,0,Urea,low,3,high
33,64,51,Sandy,Maize,5,9,29,Ammonium Nitrate,moderate,1,high
34,65,31,Red,Tobacco,23,0,21,Ammonium Sulfate,moderate,3,high
36,68,33,Black,Oil seeds,13,0,14,Calcium Nitrate,low,4,high
28,54,38,Clayey,Pulses,40,0,0,Urea,low,1,high
30,60,47,Sandy,Barley,12,0,42,DAP,low,5,high
31,62,63,Red,Cotton,11,12,15,DAP,high,3,high
27,53,43,Black,Millets,23,0,24,Ammonium Sulfate,low,4,high
34,65,54,Loamy,Wheat,38,0,0,Urea,moderate,1,high
29,58,37,Sandy,Millets,8,0,15,Calcium Nitrate,low,5,high
25,50,56,Loamy,Sugarcane,11,13,15,DAP,high,3,high
32,62,34,Red,Ground Nuts,15,0,37,DAP,high,5,high
28,54,41,Clayey,Paddy,36,0,0,Urea,high,4,high
30,60,49,Loamy,Wheat,13,0,9,Calcium Nitrate,moderate,4,high
34,65,64,Black,Cotton,24,0,20,Ammonium Sulfate,moderate,2,high
